GeoFIPS,GeoName,LineCode,Description,2024
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,148.768
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",5,  RPPs: Services: Other,103.603
14500,"Boulder, CO (Metropolitan Statistical Area)",1,RPPs: All items,105.202
14500,"Boulder, CO (Metropolitan Statistical Area)",2,  RPPs: Goods,96.052
14500,"Boulder, CO (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,157.02
14500,"Boulder, CO (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,82.741
14500,"Boulder, CO (Metropolitan Statistical Area)",5,  RPPs: Services: Other,99.822
14540,"Bowling Green, KY (Metropolitan Statistical Area)",1,RPPs: All items,90.179
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2,  RPPs: Goods,96.246
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,63.395
14540,"Bowling Green, KY (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,75.2
14540,"Bowling Green, KY (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.892
14580,"Bozeman, MT (Metropolitan Statistical Area)",1,RPPs: All items,102.51
14580,"Bozeman, MT (Metropolitan Statistical Area)",2,  RPPs: Goods,96.006
14580,"Bozeman, MT (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,139.188
14580,"Bozeman, MT (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,73.637
14580,"Bozeman, MT (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.715
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",1,RPPs: All items,105.607
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",2,  RPPs: Goods,105.028
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,129.641
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,92.038
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,99.472
14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",1,RPPs: All items,106.864
14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",2,  RPPs: Goods,97.33
14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",3,  RPPs: Services: Housing,150.453
14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",4,  RPPs: Services: Utilities,147.074
14860,"Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area",5,  RPPs: Services: Other,102.658
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1,RPPs: All items,85.975
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,93.757
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,57.72
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,81.15
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",5,  RPPs: Services: Other,96.24
15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",1,RPPs: All items,87.708
15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.269
15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,56.34
15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,87.264
15260,"Brunswick-St. Simons, GA (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.667
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1,RPPs: All items,95.844
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,99.693
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,80.989
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,129.489
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",5,  RPPs: Services: Other,97.754
15500,"Burlington, NC (Metropolitan Statistical Area)",1,RPPs: All items,93.196
15500,"Burlington, NC (Metropolitan Statistical Area)",2,  RPPs: Goods,96.621
15500,"Burlington, NC (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,77.88
15500,"Burlington, NC (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,89.234
15500,"Burlington, NC (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.186
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",1,RPPs: All items,100.949
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",2,  RPPs: Goods,97.274
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,103.842
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,125.55
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",5,  RPPs: Services: Other,101.586
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",1,RPPs: All items,89.406
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",2,  RPPs: Goods,93.628
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,58.143
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,96.945
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.939
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",1,RPPs: All items,102.349
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",2,  RPPs: Goods,96.24
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,125.113
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,86.901
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.864
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",1,RPPs: All items,86.078
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2,  RPPs: Goods,94.222
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,56.422
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,85.609
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",5,  RPPs: Services: Other,93.088
16180,"Carson City, NV (Metropolitan Statistical Area)",1,RPPs: All items,98.13
16180,"Carson City, NV (Metropolitan Statistical Area)",2,  RPPs: Goods,96.271
16180,"Carson City, NV (Metropolitan Statistical Area)",3,  RPPs: Services: Housing,101.176
16180,"Carson City, NV (Metropolitan Statistical Area)",4,  RPPs: Services: Utilities,92.674
16180,"Carson City, NV (Metropolitan Statistical Area)",5,  RPPs: Services: Other,98.744
16220,"Casper, WY (Metropolitan Statistical Area)",1,RPPs: All items,93.829
